ListingID,VehEngine,SellerListSrc,SellerState,VehFuel,VehColorExt,VehColorInt,VehTransmission,VehPriceLabel,VehDriveTrain,Vehicle_Trim,VehMake,VehModel,RatingCategory,SellerCategory,SellerIsPriv,SourceCategory,VehCertified
3287,3.6L V6,Inventory Command Center,MI,Gasoline,White,black,8-Speed Automatic,Fair Price,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Rare Sellers,False,High-Frequency Sources,False
3920,unknown,Cadillac Certified Program,ND,Gasoline,Black,unknown,unknown,Good Deal,unknown,unknown,Cadillac,XT5,Excellent Rating,Rare Sellers,False,Medium-Frequency Sources,True
4777,3.6L V6,Jeep Certified Program,WI,Gasoline,Black,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,Medium Volume Sellers,False,Medium-Frequency Sources,True
6242,3.6L V6,Inventory Command Center,MO,Gasoline,Black,black,Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Good Rating,Low Volume Sellers,False,High-Frequency Sources,False
7108,3.6L V6,HomeNet Automotive,AR,Gasoline,Silver,other,8-Speed Automatic,Good Deal,FWD,Luxury,Cadillac,XT5,Average Rating,Rare Sellers,False,High-Frequency Sources,False
10882,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),NY,Gasoline,Silver,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Rare Sellers,False,High-Frequency Sources,False
12013,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IL,Gasoline,Blue,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Rare Sellers,False,High-Frequency Sources,False
12334,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),IL,Gasoline,Red,black,8-Speed Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
12460,3.6L V6,Jeep Certified Program,MD,Gasoline,Blue,unknown,8-Speed Automatic,Great Deal,4WD,Limited,Jeep,Grand Cherokee,Average Rating,Medium Volume Sellers,False,Medium-Frequency Sources,True
13173,3.6L V6 24V MPFI DOHC,Digital Motorworks (DMi),KY,Gasoline,White,black,8-Speed Automatic,Good Deal,4WD,Limited,Jeep,Grand Cherokee,Excellent Rating,High Volume Sellers,False,High-Frequency Sources,False
